Addressdiff,addressgrowth,Columndiff,columngrowth,Rowdiff,rowgrowth,timediff,timegrowth,delay
64.0,1.0,8.0,1.0,0.0,0.0,1250.0,1.0,31250.0
64.0,0.5,8.0,0.5,0.0,0.0,1250.0,0.5,35000.0
64.0,0.3333333333333333,8.0,0.3333333333333333,0.0,0.0,1250.0,0.3333333333333333,38750.0
64.0,0.25,8.0,0.25,0.0,0.0,1250.0,0.25,42500.0
64.0,0.2,8.0,0.2,0.0,0.0,1250.0,0.2,46250.0
64.0,0.16666666666666666,8.0,0.16666666666666666,0.0,0.0,1250.0,0.16666666666666666,50000.0
64.0,0.14285714285714285,8.0,0.14285714285714285,0.0,0.0,1250.0,0.14285714285714285,53750.0
64.0,0.125,8.0,0.125,0.0,0.0,1250.0,0.125,57500.0
64.0,0.1111111111111111,8.0,0.1111111111111111,0.0,0.0,22500.0,0.6923076923076923,61250.0
64.0,0.1,8.0,0.1,0.0,0.0,5000.0,0.13333333333333333,43750.0
64.0,0.09090909090909091,8.0,0.09090909090909091,0.0,0.0,5000.0,0.11764705882352941,43750.0
64.0,0.08333333333333333,8.0,0.08333333333333333,0.0,0.0,5000.0,0.10526315789473684,43750.0
64.0,0.07692307692307693,8.0,0.07692307692307693,0.0,0.0,5000.0,0.09523809523809523,43750.0
64.0,0.07142857142857142,8.0,0.07142857142857142,0.0,0.0,5000.0,0.08695652173913043,43750.0
64.0,0.06666666666666667,8.0,0.06666666666666667,0.0,0.0,5000.0,0.08,43750.0
64.0,0.0625,8.0,0.0625,0.0,0.0,5000.0,0.07407407407407407,43750.0
64.0,0.058823529411764705,8.0,0.058823529411764705,0.0,0.0,5000.0,0.06896551724137931,43750.0
64.0,0.05555555555555555,8.0,0.05555555555555555,0.0,0.0,5000.0,0.06451612903225806,43750.0
64.0,0.05263157894736842,8.0,0.05263157894736842,0.0,0.0,5000.0,0.06060606060606061,43750.0
64.0,0.05,8.0,0.05,0.0,0.0,5000.0,0.05714285714285714,43750.0
64.0,0.047619047619047616,8.0,0.047619047619047616,0.0,0.0,5000.0,0.05405405405405406,43750.0
64.0,0.045454545454545456,8.0,0.045454545454545456,0.0,0.0,5000.0,0.05128205128205128,43750.0
