time,address,binaryaddress,bank,row,column,delay,command
0, 0, 00000000000000000000000000000000, 0, 0, 0, 31250, R
1250, 64, 00000000000000000000000001000000, 0, 0, 8, 35000, R
2500, 128, 00000000000000000000000010000000, 0, 0, 16, 38750, R
3750, 192, 00000000000000000000000011000000, 0, 0, 24, 42500, R
5000, 256, 00000000000000000000000100000000, 0, 0, 32, 46250, R
6250, 320, 00000000000000000000000101000000, 0, 0, 40, 50000, R
7500, 384, 00000000000000000000000110000000, 0, 0, 48, 53750, R
8750, 448, 00000000000000000000000111000000, 0, 0, 56, 57500, R
10000, 512, 00000000000000000000001000000000, 0, 0, 64, 61250, R
32500, 576, 00000000000000000000001001000000, 0, 0, 72, 43750, R
37500, 640, 00000000000000000000001010000000, 0, 0, 80, 43750, R
42500, 704, 00000000000000000000001011000000, 0, 0, 88, 43750, R
47500, 768, 00000000000000000000001100000000, 0, 0, 96, 43750, R
52500, 832, 00000000000000000000001101000000, 0, 0, 104, 43750, R
57500, 896, 00000000000000000000001110000000, 0, 0, 112, 43750, R
62500, 960, 00000000000000000000001111000000, 0, 0, 120, 43750, R
67500, 1024, 00000000000000000000010000000000, 0, 0, 128, 43750, R
72500, 1088, 00000000000000000000010001000000, 0, 0, 136, 43750, R
77500, 1152, 00000000000000000000010010000000, 0, 0, 144, 43750, R
82500, 1216, 00000000000000000000010011000000, 0, 0, 152, 43750, R
87500, 1280, 00000000000000000000010100000000, 0, 0, 160, 43750, R
92500, 1344, 00000000000000000000010101000000, 0, 0, 168, 43750, R
97500, 1408, 00000000000000000000010110000000, 0, 0, 176, 43750, R
102500, 1472, 00000000000000000000010111000000, 0, 0, 184, 43750, R
107500, 1536, 00000000000000000000011000000000, 0, 0, 192, 43750, R
112500, 1600, 00000000000000000000011001000000, 0, 0, 200, 43750, R
117500, 1664, 00000000000000000000011010000000, 0, 0, 208, 43750, R
122500, 1728, 00000000000000000000011011000000, 0, 0, 216, 43750, R
127500, 1792, 00000000000000000000011100000000, 0, 0, 224, 43750, R
